starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	5	0	5	0
Thu Jun 06 13:59:36 2024	1717682376	4	1	5	1
Thu Jun 06 13:59:36 2024	1717682376	4	1	5	1
Thu Jun 06 13:59:36 2024	1717682376	4	1	6	1
Thu Jun 06 13:59:36 2024	1717682376	4	2	6	2
Thu Jun 06 13:59:36 2024	1717682376	4	2	6	2
Thu Jun 06 13:59:36 2024	1717682376	4	2	6	2
Thu Jun 06 13:59:36 2024	1717682376	4	2	7	2
Thu Jun 06 13:59:36 2024	1717682376	4	3	7	3
Thu Jun 06 13:59:36 2024	1717682376	4	3	7	3
Thu Jun 06 13:59:36 2024	1717682376	4	3	7	3
Thu Jun 06 13:59:36 2024	1717682376	4	3	8	3
Thu Jun 06 13:59:36 2024	1717682376	4	4	8	4
Thu Jun 06 13:59:36 2024	1717682376	4	4	8	4
Thu Jun 06 13:59:36 2024	1717682376	4	4	9	4
Thu Jun 06 13:59:36 2024	1717682376	4	4	9	4
Thu Jun 06 13:59:36 2024	1717682376	4	5	9	5
Thu Jun 06 13:59:36 2024	1717682376	4	5	9	5
Thu Jun 06 13:59:36 2024	1717682376	4	5	10	5
Thu Jun 06 13:59:36 2024	1717682376	4	5	10	5
Thu Jun 06 13:59:36 2024	1717682376	4	6	10	6
Thu Jun 06 13:59:36 2024	1717682376	4	6	10	6
Thu Jun 06 13:59:36 2024	1717682376	4	6	11	6
Thu Jun 06 13:59:36 2024	1717682376	4	7	11	7
Thu Jun 06 13:59:36 2024	1717682376	4	7	11	7
Thu Jun 06 13:59:36 2024	1717682376	4	8	12	8
Thu Jun 06 13:59:36 2024	1717682376	4	8	12	8
Thu Jun 06 13:59:36 2024	1717682376	4	8	12	8
Thu Jun 06 13:59:36 2024	1717682376	4	8	13	8
Thu Jun 06 13:59:36 2024	1717682376	4	9	13	9
Thu Jun 06 13:59:36 2024	1717682376	4	9	13	9
Thu Jun 06 13:59:36 2024	1717682376	4	9	13	9
Thu Jun 06 13:59:36 2024	1717682376	4	9	14	9
Thu Jun 06 13:59:36 2024	1717682376	4	10	14	10
Thu Jun 06 13:59:36 2024	1717682376	4	10	14	10
Thu Jun 06 13:59:36 2024	1717682376	4	10	15	10
Thu Jun 06 13:59:36 2024	1717682376	4	11	15	11
Thu Jun 06 13:59:36 2024	1717682376	4	11	15	11
Thu Jun 06 13:59:36 2024	1717682376	4	11	16	11
Thu Jun 06 13:59:36 2024	1717682376	4	12	16	12
Thu Jun 06 13:59:36 2024	1717682376	4	12	16	12
Thu Jun 06 13:59:36 2024	1717682376	4	12	17	12
Thu Jun 06 13:59:36 2024	1717682376	4	13	17	13
Thu Jun 06 13:59:36 2024	1717682376	4	13	17	13
Thu Jun 06 13:59:36 2024	1717682376	4	13	18	13
Thu Jun 06 13:59:36 2024	1717682376	4	14	18	14
Thu Jun 06 13:59:36 2024	1717682376	4	14	18	14
Thu Jun 06 13:59:36 2024	1717682376	4	14	19	14
Thu Jun 06 13:59:36 2024	1717682376	4	15	19	15
Thu Jun 06 13:59:36 2024	1717682376	10	9	19	4
Thu Jun 06 13:59:36 2024	1717682376	4	15	19	15
Thu Jun 06 13:59:36 2024	1717682376	4	15	20	15
Thu Jun 06 13:59:36 2024	1717682376	4	16	20	16
Thu Jun 06 13:59:36 2024	1717682376	4	16	21	16
Thu Jun 06 13:59:36 2024	1717682376	4	17	21	17
Thu Jun 06 13:59:36 2024	1717682376	4	17	21	17
Thu Jun 06 13:59:36 2024	1717682376	4	17	22	17
Thu Jun 06 13:59:36 2024	1717682376	4	18	22	18
Thu Jun 06 13:59:36 2024	1717682376	4	18	22	18
Thu Jun 06 13:59:36 2024	1717682376	4	18	23	18
Thu Jun 06 13:59:36 2024	1717682376	4	19	23	19
Thu Jun 06 13:59:36 2024	1717682376	4	19	23	19
Thu Jun 06 13:59:36 2024	1717682376	4	20	24	20
Thu Jun 06 13:59:36 2024	1717682376	4	20	24	20
Thu Jun 06 13:59:36 2024	1717682376	4	20	24	20
Thu Jun 06 13:59:36 2024	1717682376	4	21	25	21
Thu Jun 06 13:59:36 2024	1717682376	4	21	25	21
Thu Jun 06 13:59:36 2024	1717682376	4	21	25	21
Thu Jun 06 13:59:36 2024	1717682376	4	22	26	22
Thu Jun 06 13:59:36 2024	1717682376	4	22	26	22
Thu Jun 06 13:59:36 2024	1717682376	4	22	27	22
Thu Jun 06 13:59:36 2024	1717682376	4	23	27	23
Thu Jun 06 13:59:36 2024	1717682376	4	23	27	23
Thu Jun 06 13:59:36 2024	1717682376	4	24	28	24
Thu Jun 06 13:59:36 2024	1717682376	4	24	28	24
Thu Jun 06 13:59:36 2024	1717682376	4	25	29	25
Thu Jun 06 13:59:36 2024	1717682376	4	25	29	25
Thu Jun 06 13:59:36 2024	1717682376	4	25	30	25
Thu Jun 06 13:59:36 2024	1717682376	4	26	30	26
Thu Jun 06 13:59:36 2024	1717682376	4	27	31	27
Thu Jun 06 13:59:36 2024	1717682376	4	27	31	27
Thu Jun 06 13:59:36 2024	1717682376	4	27	31	27
Thu Jun 06 13:59:36 2024	1717682376	4	28	32	28
Thu Jun 06 13:59:36 2024	1717682376	4	28	32	28
Thu Jun 06 13:59:36 2024	1717682376	4	29	33	29
Thu Jun 06 13:59:36 2024	1717682376	4	29	33	29
Thu Jun 06 13:59:36 2024	1717682376	4	30	34	30
Thu Jun 06 13:59:36 2024	1717682376	4	30	34	30
Thu Jun 06 13:59:36 2024	1717682376	4	31	35	31
Thu Jun 06 13:59:36 2024	1717682376	4	32	36	32
Thu Jun 06 13:59:36 2024	1717682376	4	32	36	32
Thu Jun 06 13:59:36 2024	1717682376	4	32	36	32
Thu Jun 06 13:59:36 2024	1717682376	4	33	37	33
Thu Jun 06 13:59:36 2024	1717682376	4	33	37	33
Thu Jun 06 13:59:36 2024	1717682376	4	34	38	34
Thu Jun 06 13:59:36 2024	1717682376	4	34	39	34
Thu Jun 06 13:59:36 2024	1717682376	4	35	39	35
Thu Jun 06 13:59:36 2024	1717682376	4	35	39	35
Thu Jun 06 13:59:36 2024	1717682376	4	36	40	36
Thu Jun 06 13:59:36 2024	1717682376	4	36	40	36
Thu Jun 06 13:59:36 2024	1717682376	4	36	40	36
Thu Jun 06 13:59:36 2024	1717682376	4	37	41	37
Thu Jun 06 13:59:36 2024	1717682376	4	37	41	37
Thu Jun 06 13:59:36 2024	1717682376	4	38	42	38
Thu Jun 06 13:59:36 2024	1717682376	4	38	42	38
Thu Jun 06 13:59:36 2024	1717682376	4	39	43	39
Thu Jun 06 13:59:36 2024	1717682376	4	39	43	39
Thu Jun 06 13:59:36 2024	1717682376	4	40	44	40
Thu Jun 06 13:59:36 2024	1717682376	4	40	44	40
Thu Jun 06 13:59:36 2024	1717682376	4	40	45	40
Thu Jun 06 13:59:36 2024	1717682376	4	42	46	42
Thu Jun 06 13:59:36 2024	1717682376	4	42	46	42
Thu Jun 06 13:59:36 2024	1717682376	4	43	47	43
Thu Jun 06 13:59:36 2024	1717682376	4	43	47	43
Thu Jun 06 13:59:36 2024	1717682376	4	43	47	43
Thu Jun 06 13:59:36 2024	1717682376	4	44	48	44
Thu Jun 06 13:59:36 2024	1717682376	4	45	49	45
Thu Jun 06 13:59:36 2024	1717682376	4	45	49	45
Thu Jun 06 13:59:36 2024	1717682376	4	46	50	46
Thu Jun 06 13:59:36 2024	1717682376	4	46	50	46
Thu Jun 06 13:59:36 2024	1717682376	4	47	51	47
Thu Jun 06 13:59:36 2024	1717682376	4	47	51	47
Thu Jun 06 13:59:36 2024	1717682376	4	48	52	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	52	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	52	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	53	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	5	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	6	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	6	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	6	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	6	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	6	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	6	49	54	49
Thu Jun 06 13:59:36 2024	1717682376	6	49	54	49
Thu Jun 06 13:59:36 2024	1717682376	6	48	54	48
Thu Jun 06 13:59:36 2024	1717682376	6	48	55	48
Thu Jun 06 13:59:36 2024	1717682376	6	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	6	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	6	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	6	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	6	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	55	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	56	49
Thu Jun 06 13:59:36 2024	1717682376	7	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	49	57	49
Thu Jun 06 13:59:36 2024	1717682376	8	50	58	50
Thu Jun 06 13:59:36 2024	1717682376	8	50	58	50
Thu Jun 06 13:59:36 2024	1717682376	8	50	58	50
Thu Jun 06 13:59:36 2024	1717682376	9	49	58	49
Thu Jun 06 13:59:36 2024	1717682376	9	49	58	49
Thu Jun 06 13:59:36 2024	1717682376	9	49	58	49
Thu Jun 06 13:59:36 2024	1717682376	9	49	58	49
Thu Jun 06 13:59:36 2024	1717682376	9	50	58	50
Thu Jun 06 13:59:36 2024	1717682376	9	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	9	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	9	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	9	49	59	49
Thu Jun 06 13:59:36 2024	1717682376	9	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	9	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	9	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	59	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	10	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	60	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	11	50	61	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	12	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	62	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	63	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	64	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	64	50
Thu Jun 06 13:59:36 2024	1717682376	13	50	64	50
Thu Jun 06 13:59:36 2024	1717682376	14	50	64	50
Thu Jun 06 13:59:36 2024	1717682376	14	50	64	50
Thu Jun 06 13:59:36 2024	1717682376	14	50	64	50
Thu Jun 06 13:59:36 2024	1717682376	14	50	64	50
Thu Jun 06 13:59:36 2024	1717682376	14	51	64	51
Thu Jun 06 13:59:36 2024	1717682376	14	51	64	51
Thu Jun 06 13:59:36 2024	1717682376	14	51	64	51
Thu Jun 06 13:59:36 2024	1717682376	14	50	65	50
Thu Jun 06 13:59:36 2024	1717682376	14	50	65	50
Thu Jun 06 13:59:36 2024	1717682376	14	50	65	50
Thu Jun 06 13:59:36 2024	1717682376	14	50	65	50
Thu Jun 06 13:59:36 2024	1717682376	14	51	65	51
Thu Jun 06 13:59:36 2024	1717682376	14	51	65	51
Thu Jun 06 13:59:36 2024	1717682376	14	51	65	51
Thu Jun 06 13:59:36 2024	1717682376	15	50	65	50
Thu Jun 06 13:59:36 2024	1717682376	15	51	65	51
Thu Jun 06 13:59:36 2024	1717682376	15	51	65	51
Thu Jun 06 13:59:36 2024	1717682376	15	51	66	51
Thu Jun 06 13:59:36 2024	1717682376	15	51	66	51
Thu Jun 06 13:59:36 2024	1717682376	15	51	66	51
Thu Jun 06 13:59:36 2024	1717682376	15	51	66	51
Thu Jun 06 13:59:36 2024	1717682376	15	51	66	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	66	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	66	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	67	51
Thu Jun 06 13:59:36 2024	1717682376	16	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	68	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	17	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	18	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	18	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	18	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	18	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	18	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	18	51	69	51
Thu Jun 06 13:59:36 2024	1717682376	18	51	70	51
Thu Jun 06 13:59:36 2024	1717682376	18	52	70	52
Thu Jun 06 13:59:36 2024	1717682376	19	51	70	51
Thu Jun 06 13:59:36 2024	1717682376	19	51	70	51
Thu Jun 06 13:59:36 2024	1717682376	19	51	70	51
Thu Jun 06 13:59:36 2024	1717682376	19	51	70	51
Thu Jun 06 13:59:36 2024	1717682376	19	52	70	52
Thu Jun 06 13:59:36 2024	1717682376	19	52	70	52
Thu Jun 06 13:59:36 2024	1717682376	19	52	71	52
Thu Jun 06 13:59:36 2024	1717682376	19	51	71	51
Thu Jun 06 13:59:36 2024	1717682376	19	51	71	51
Thu Jun 06 13:59:36 2024	1717682376	19	52	71	52
Thu Jun 06 13:59:36 2024	1717682376	19	52	71	52
Thu Jun 06 13:59:36 2024	1717682376	19	52	71	52
Thu Jun 06 13:59:36 2024	1717682376	20	52	71	52
Thu Jun 06 13:59:36 2024	1717682376	20	51	71	51
Thu Jun 06 13:59:36 2024	1717682376	20	52	71	52
Thu Jun 06 13:59:36 2024	1717682376	20	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	20	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	20	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	20	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	20	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	72	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	21	52	73	52
Thu Jun 06 13:59:36 2024	1717682376	22	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	22	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	22	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	22	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	22	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	22	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	22	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	74	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	75	52
Thu Jun 06 13:59:36 2024	1717682376	23	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	76	52
Thu Jun 06 13:59:36 2024	1717682376	24	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	25	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	25	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	25	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	25	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	25	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	25	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	77	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	78	52
Thu Jun 06 13:59:36 2024	1717682376	26	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	0	79	79	128
Thu Jun 06 13:59:36 2024	1717682376	0	79	79	128
Thu Jun 06 13:59:36 2024	1717682376	0	79	79	128
Thu Jun 06 13:59:36 2024	1717682376	0	79	79	128
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	0	79	79	128
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	27	52	79	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	129
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	130
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	28	52	80	52
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	130
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	130
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	130
Thu Jun 06 13:59:36 2024	1717682376	0	80	80	130
Thu Jun 06 13:59:36 2024	1717682376	29	52	81	52
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	29	52	81	52
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	29	52	81	52
Thu Jun 06 13:59:36 2024	1717682376	29	52	81	52
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	130
Thu Jun 06 13:59:36 2024	1717682376	0	81	81	131
